Company Name,City,State,ZIP Code,Primary NAICS,Primary NAICS Description,Location Employee Size Actual,Location Sales Volume Actual,Type of Business,Square Footage,Credit Score Alpha,Saturday Open,Sunday Open
Crouch Transportation,Cedar Hill,TN,37032,488210,Support Activities For Rail Transportation,7,"$749,000",Private,"5,000 - 9,999",B,,
CSX Intermodal,Nashville,TN,37204,488510,Freight Transportation Arrangement,22,"$4,689,000",Branch of Public Company,"40,000 - 99,999",A+,,
Darson Transport,Memphis,TN,38118,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,8,"$1,808,000",Private,"5,000 - 9,999",B,,
Dat Transport,Knoxville,TN,37918,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$642,000",Private,"2,500 - 4,999",C+,,
Eagle Transportation,Chattanooga,TN,37416,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,18,"$3,911,000",Private,"5,000 - 9,999",B+,,
Efi Inc,Signal Mountain,TN,37377,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$652,000",Private,"1,500 - 2,499",C+,,
Evans Delivery,Nashville,TN,37217,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$224,000",Private,"2,500 - 4,999",C,,
EXP Logistics,Chattanooga,TN,37419,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,4,"$869,000",Private,"2,500 - 4,999",B,,
Fast Track LLC,Union City,TN,38261,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,17,"$3,350,000",Private,"5,000 - 9,999",B+,,
Fineline Carriers Inc,Lebanon,TN,37087,425120,Wholesale Trade Agents & Brokers,4,"$13,315,000",Private,"2,500 - 4,999",B+,,
First Fleet Inc,Murfreesboro,TN,37129,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,65,"$13,727,000",Private,"40,000 - 99,999",A,Open 24 Hours,Open 24 Hours
Franklin Logistics,Franklin,TN,37067,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,4,"$880,000",Private,"5,000 - 9,999",B,,
Freight-Tec,Eads,TN,38028,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$678,000",Private,"1,500 - 2,499",C+,,
French Trucking Inc,Lexington,TN,38351,425120,Wholesale Trade Agents & Brokers,55,"$113,498,000",Private,"40,000 - 99,999",A+,,
Fullen Transportation Svc Inc,Memphis,TN,38118,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,25,"$5,648,000",Private,"20,000 - 39,999",A,Closed,Closed
Fulmer Brothers Inc,Mcminnville,TN,37110,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$301,000",Private,"1,500 - 2,499",C+,,
G & P Trucking,Chattanooga,TN,37406,532120,"Truck, Utility Trailer & Rv Rental & Leasing",5,"$8,338,000",Private,"5,000 - 9,999",B+,,
G & P Trucking,Chattanooga,TN,37406,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,18,"$3,911,000",Private,"20,000 - 39,999",B+,,
Gemini Transportation,Memphis,TN,38107,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,15,"$3,389,000",Private,"10,000 - 19,999",B+,,
Great Southern Trucking,Franklin,TN,37064,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$220,000",Private,"1,500 - 2,499",C,,
Greer Transportation Svc,Mcminnville,TN,37110,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$301,000",Private,"1,500 - 2,499",C+,,
Hardin Transportation,Andersonville,TN,37705,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$665,000",Private,"1,500 - 2,499",B,,
Hatmaker Trucking Co,Jacksboro,TN,37757,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,6,"$960,000",Private,"2,500 - 4,999",B+,,
Heartland Express Inc,Kingsport,TN,37663,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,40,"$8,376,000",Branch of Public Company,"40,000 - 99,999",A+,,
Hoge Motor Co,Springfield,TN,37172,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,50,"$8,796,000",Private,"40,000 - 99,999",A,,
Hooten's Transportation,Nashville,TN,37209,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$224,000",Private,"1,500 - 2,499",C,,
Hot Shot Delivery Svc,Nashville,TN,37210,492110,Couriers & Express Delivery Services,18,"$2,187,000",Private,"20,000 - 39,999",A,,
HTS,Murfreesboro,TN,37128,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,056,000",Private,"2,500 - 4,999",B,,
IFT Inc,Franklin,TN,37067,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,100,000",Private,"20,000 - 39,999",B,,
